uf,caso_original,decisao_proposta,candidato_oficial,confianca_proposta,justificativa,status_aplicacao_v2_1,observacao_v2_1
BA,Capital São Paulo do Nordeste,Manter em quarentena / não homologar remapeamento,Santanópolis (apenas hipótese fraca),baixa,"Sem IBGE original e sem aderência lexical robusta a Santanópolis, Saubara, Saúde ou Serra do Ramalho; a única pista anterior era posição alfabética, insuficiente para homologação.",pendente,
BA,Cara Coles,Manter em quarentena / não homologar remapeamento,nenhum,baixa,Sem IBGE original e sem candidato textual consistente entre os oficiais faltantes da BA; similaridades observadas foram fracas e não sustentam decisão segura.,pendente,
CE,Ervas Belas,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"O IBGE original 2304285 aponta para Eusébio, e não para nenhum dos oficiais faltantes do CE; não houve candidato lexical forte entre Acarape, Acaraú e Itapajé.",pendente,
CE,João Costa,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"O IBGE original 2307031 não fechou com a malha oficial usada e os candidatos por similaridade no CE foram fracos; sem prova suficiente para atribuir Acarape, Acaraú ou Itapajé.",pendente,
CE,Santo André,Manter em quarentena / não homologar remapeamento,nenhum,baixa,O IBGE original 2312205 corresponde a Santa Quitéria; não há correspondência lexical convincente com os oficiais faltantes do CE.,pendente,
GO,Itaporã do Tocantins,Manter em quarentena / não homologar remapeamento,Santa Tereza de Goiás (hipótese fraca),baixa,O IBGE original 1503754 corresponde a Jacareacanga/PA; a hipótese Santa Tereza de Goiás é apenas residual e não há aderência textual suficiente para homologar.,pendente,
MA,São Félix do Maranhão,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"O IBGE original 2111250 corresponde a São José dos Basílios; os oficiais faltantes remanescentes no MA são Raposa e Vitorino Freire, sem afinidade textual robusta.",pendente,
MG,Ibitira,Manter em quarentena / não homologar remapeamento,Tapira (hipótese fraca),baixa,Sem IBGE original e com similaridade apenas moderada com Tapira; ausência de evidência complementar impede homologação segura.,pendente,
MG,Mocambeiro,Manter em quarentena / não homologar remapeamento,nenhum,baixa,Sem IBGE original e sem candidato lexical consistente entre os oficiais faltantes de MG; similaridades foram fracas e dispersas.,pendente,
MG,Monte Heleno,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"O IBGE original 3143450 corresponde a Montezuma, não a um dos oficiais faltantes de MG; sem trilha robusta para remapeamento manual.",pendente,
MG,Trevenópolis,Manter em quarentena / não homologar remapeamento,"Turvolândia (hipótese moderada, sem homologar)",baixa-média,"Há alguma proximidade gráfica com Turvolândia, mas sem IBGE original e sem evidência adicional a recomendação ainda é não homologar.",pendente,
MG,Trianon,Manter em quarentena / não homologar remapeamento,nenhum,baixa,Sem IBGE original e sem candidato lexical/material robusto entre os oficiais faltantes de MG.,pendente,
MG,Turvânia,"Revisão manual prioritária; se decidir hoje, manter em quarentena",Turvolândia,média,É o caso residual mais plausível em MG pela similaridade nominal e pela existência de Turvolândia como oficial faltante; ainda assim faltou prova documental para homologação automática.,pendente,
PB,Barro,Manter em quarentena / não homologar remapeamento,nenhum,baixa,O IBGE original 2302008 corresponde a Barro/CE; não há aderência com os oficiais faltantes da PB (São José de Piranhas e São Vicente do Seridó).,pendente,
PB,Bela Vista,Manter em quarentena / não homologar remapeamento,nenhum,baixa,O IBGE original 2501807 corresponde a Bayeux/PB; não há evidência de que o registro represente São José de Piranhas ou São Vicente do Seridó.,pendente,
PE,Lagoa de São Francisco,Manter em quarentena / não homologar remapeamento,nenhum,baixa,Sem IBGE original e sem correspondência convincente com os oficiais faltantes remanescentes em PE; a similaridade observada com Tabira foi fraca.,pendente,
PE,São Bento do Uma,Homologar remapeamento manual,São Bento do Una,alta,Diferença toponímica mínima e convergência forte com o oficial faltante de PE; é o caso mais sólido de homologação manual residual.,aplicado,Homologado manualmente e incorporado à base canônica v2.1.
PR,Espéria,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"Sem IBGE original e sem correspondência lexical robusta com Itapejara d'Oeste, Lapa ou Prudentópolis.",pendente,
PR,Estiva Gerbi,Manter em quarentena / não homologar remapeamento,nenhum,baixa,Sem IBGE original e sem aderência suficiente aos oficiais faltantes do PR; similaridades levantadas foram muito fracas.,pendente,
RN,Exu,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"O IBGE original 2604106 corresponde a Caruaru/PE; não houve convergência textual ou de código com Itajá, Jandaíra, Januário Cicco, Rio do Fogo ou Taipu.",pendente,
RN,Janeirinho,Manter em quarentena / não homologar remapeamento,Januário Cicco ou Jandaíra (hipóteses fracas),baixa,O IBGE original 2405504 corresponde a Jardim de Angicos; as aproximações a Jandaíra/Januário Cicco foram fracas e insuficientes para homologação.,pendente,
RN,Nova Palmeira,Manter em quarentena / não homologar remapeamento,Jandaíra (hipótese fraca),baixa,O IBGE original 2408508 corresponde a Ouro Branco; a aproximação com Jandaíra é apenas residual e não sustentada por código ou posição.,pendente,
RS,Alto Paraíso,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"Sem IBGE original e sem convergência robusta com Piratini, Sant'Ana do Livramento, Santiago ou São José dos Ausentes.",pendente,
RS,Alto Uruguai,Manter em quarentena / não homologar remapeamento,nenhum,baixa,Sem IBGE original e sem vínculo textual/material forte com os oficiais faltantes do RS.,pendente,
RS,Ênio Lemos,Manter em quarentena / não homologar remapeamento,nenhum,baixa,Sem IBGE original e com candidatos apenas residuais; não há base suficiente para decisão afirmativa.,pendente,
SP,Alvorada do Sul,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"Sem IBGE original e sem aderência convincente com Tarumã, Tatuí, Valinhos ou Valparaíso; os candidatos por similaridade foram fracos.",pendente,
SP,Itapu,Manter em quarentena / não homologar remapeamento,nenhum,baixa,"Sem IBGE original e sem correspondência robusta aos oficiais faltantes de SP; embora haja proximidade com nomes fora da fila, ela não resolve a lacuna canônica atual.",pendente,
